RMSE,Num_Points,Density,LBP,Class
0.048120699359612204,19,0.152,0,50
0.016177431916126497,13,0.104,15,50
0.02065449783553169,13,0.104,42,50
0.021670013167064475,14,0.112,18,50
0.02112888975070721,12,0.096,31,50
0.034088224716421804,15,0.12,33,50
0.01411504946920033,12,0.096,36,50
0.019692509029541654,8,0.064,13,50
0.17809670308393633,9,0.072,16,50
4.825636770166652e-05,7,0.056,44,50
0.21975790245894392,13,0.104,43,50
7.519449584473631e-07,3,0.024,23,50
0.03447708982178789,5,0.04,53,50
1.772519681956612e-09,3,0.024,3,50
0.027873561769444343,5,0.04,0,50
0.03288998938062402,15,0.12,0,50
0.028026005054965695,10,0.08,59,50
0.02938196660038829,13,0.104,53,50
0.04859362661632687,20,0.16,35,50
0.03157249718747354,17,0.136,61,50
0.020202231461394483,18,0.144,10,50
0.014563146977500592,12,0.096,42,50
0.03139560483946362,16,0.128,33,50
0.026004715576112374,15,0.12,23,50
0.05304563312195784,10,0.08,57,50
0.2767002873061899,15,0.12,4,50
0.18274913643313698,12,0.096,0,50
5.269188479794243e-05,6,0.048,57,50
1.6051592139868937e-05,4,0.032,63,50
0.05946347834338223,5,0.04,50,50
0.0352225860342729,5,0.04,32,50
1.213718291796321e-07,3,0.024,51,50
0.02313976639989446,10,0.08,3,50
0.03314796404391688,16,0.128,8,50
0.03342319036529475,14,0.112,53,50
0.03991405377185169,16,0.128,26,50
0.0525450727124102,14,0.112,8,50
0.038417797693923804,20,0.16,53,50
0.02800286965444865,15,0.12,8,50
0.03138836501145452,16,0.128,19,50
1.9324583957776726e-05,4,0.032,63,50
0.22058683204960072,13,0.104,51,50
0.23665404785453603,20,0.16,0,50
0.033357623131450256,9,0.072,9,50
0.0025036051423164988,4,0.032,60,50
1.1226290952172831e-07,3,0.024,1,50
0.049128779139053454,9,0.072,34,50
0.028768577165549467,8,0.064,58,50
0.01969803102117043,9,0.072,22,50
0.026679794549840444,15,0.12,63,50
0.028168840120032183,16,0.128,61,50
0.03240945835834282,17,0.136,43,50
0.03300868925365318,18,0.144,18,50
0.03780271747731829,16,0.128,57,50
0.03730881614665569,14,0.112,49,50
0.19931356247370316,16,0.128,53,50
0.024984816144615313,7,0.056,16,50
0.2657830080733474,18,0.144,46,50
0.031236320370226306,11,0.088,42,50
0.011303066877095189,8,0.064,6,50
0.010507736198427835,4,0.032,45,50
0.0032944681549254597,4,0.032,35,50
1.1600552480099207e-06,3,0.024,53,50
0.032246756803379406,10,0.08,63,50
0.03578893207082244,6,0.048,2,50
0.021651936952904797,10,0.08,61,50
0.02255624232102485,18,0.144,34,50
0.029245409269986637,17,0.136,26,50
0.03657379232251633,17,0.136,63,50
0.026877846534188583,15,0.12,54,50
0.028346978140433104,16,0.128,63,50
0.024916207878686192,14,0.112,11,50
0.1623886750791902,15,0.12,29,50
3.07110023308958e-05,4,0.032,3,50
0.20755140320201343,20,0.16,45,50
0.17040640811272298,14,0.112,38,50
4.537688897906326e-05,6,0.048,63,50
0.04846817970677508,4,0.032,38,50
2.225741302121875e-05,5,0.04,10,50
7.349433073233769e-08,3,0.024,46,50
1.5076669453624922e-07,3,0.024,0,50
0.0354764934374989,12,0.096,50,50
2.822452280781818e-07,3,0.024,57,50
0.016090653598034542,7,0.056,9,50
0.03389990128053462,11,0.088,56,50
0.027292631168005052,15,0.12,0,50
0.019447190562700015,10,0.08,6,50
0.014522874113460387,11,0.088,63,50
0.030893198646169046,12,0.096,18,50
0.029093616281005416,10,0.08,52,50
0.029542419182431695,16,0.128,32,50
0.20376040371982992,11,0.088,8,50
0.19412878802434386,21,0.168,40,50
7.39536772837242e-05,7,0.056,26,50
8.073214467181407e-06,5,0.04,33,50
3.790342776218333e-08,3,0.024,0,50
1.852828322119731e-05,8,0.064,8,50
9.541101745706254e-08,3,0.024,30,50
0.06556991852061103,7,0.056,35,50
0.017318959985731006,4,0.032,31,50
7.303537217969356e-07,3,0.024,2,50
8.03688181501396e-05,5,0.04,7,50
0.01950977339235384,13,0.104,23,50
0.02562792413718929,6,0.048,19,50
0.026615283611713426,13,0.104,6,50
0.022980757459118293,13,0.104,14,50
0.024875118264400146,10,0.08,32,50
0.02077764985326025,11,0.088,12,50
0.027877002395201887,13,0.104,1,50
0.023123065845312814,11,0.088,3,50
3.175222485820214e-07,3,0.024,62,50
6.282349175265949e-05,6,0.048,6,50
0.20326771945061006,27,0.216,16,50
0.032813957216610026,10,0.08,62,50
0.03676874585167891,5,0.04,49,50
1.6870269885542056e-06,4,0.032,59,50
2.1566253389648155e-05,6,0.048,53,50
0.03944279095170583,7,0.056,31,50
4.62440704988391e-08,3,0.024,47,50
0.024930520090542377,7,0.056,2,50
0.023068762694538125,9,0.072,44,50
0.028250557687829515,11,0.088,2,50
0.04348999937485578,17,0.136,48,50
0.021142939022365696,14,0.112,26,50
0.01832513335267189,13,0.104,1,50
0.018513646523774054,11,0.088,59,50
0.02967389872104667,14,0.112,43,50
1.5874640212308152e-07,3,0.024,62,50
0.10744224093089129,6,0.048,0,50
0.015904862521046614,10,0.08,50,50
0.17776377413533567,12,0.096,13,50
0.02430107954121308,6,0.048,32,50
0.085876104052209,8,0.064,56,50
1.2615816931387643e-05,8,0.064,35,50
1.3058896089490625e-08,3,0.024,0,50
0.030127301457228146,12,0.096,22,50
0.035666846287782356,9,0.072,3,50
0.02175388062544155,10,0.08,62,50
0.00011133034292463062,6,0.048,41,50
0.007312441293291998,10,0.08,41,50
0.03374058445569409,13,0.104,2,50
0.024186825524501746,11,0.088,10,50
0.03753856016952731,18,0.144,2,50
0.0308878964004082,12,0.096,45,50
0.02771765652455014,10,0.08,8,50
0.024803981640120296,10,0.08,55,50
2.1397379831493764e-05,4,0.032,58,50
0.19484590851376754,13,0.104,36,50
0.12718105813702157,15,0.12,48,50
0.007264287436593676,8,0.064,43,50
0.11638063615378745,10,0.08,19,50
1.2175213483696842e-07,3,0.024,42,50
0.09183937036552946,7,0.056,23,50
1.335697388405679e-05,6,0.048,35,50
0.017321309139980274,6,0.048,23,50
0.0448282104753565,8,0.064,16,50
0.027513557842160648,10,0.08,23,50
0.03377686680263028,9,0.072,1,50
0.00013180220896823373,6,0.048,54,50
0.017576051815228654,7,0.056,32,50
0.02768427017992402,13,0.104,32,50
0.030836060408963147,8,0.064,2,50
0.01714474585582395,15,0.12,52,50
0.03705625194033529,20,0.16,18,50
0.02822472218836808,14,0.112,20,50
0.1407902431833972,12,0.096,15,50
0.13994652057621698,20,0.16,40,50
0.019677967030351223,15,0.12,49,50
1.8787963759990397e-05,7,0.056,31,50
5.977774873961624e-06,4,0.032,35,50
0.03974154035135917,10,0.08,0,50
0.015811866595352195,8,0.064,22,50
0.04160105202920759,12,0.096,15,50
0.01783181755007015,6,0.048,0,50
0.028919161189541673,18,0.144,49,50
0.007863064556523474,7,0.056,63,50
7.80036854339701e-06,4,0.032,63,50
0.00012460834016777913,6,0.048,5,50
0.017688070543094864,5,0.04,9,50
0.046691786200560324,7,0.056,24,50
0.009735896719236208,10,0.08,34,50
0.014963381441436776,12,0.096,63,50
0.01743732559118174,9,0.072,40,50
0.018962620605911137,9,0.072,53,50
0.017865274922431677,13,0.104,1,50
0.0256020041976245,8,0.064,12,50
0.016530580573021442,11,0.088,9,50
0.17324884923894693,41,0.328,58,50
0.016986660278092088,11,0.088,55,50
0.06375073638083938,10,0.08,33,50
3.762768168687985e-05,6,0.048,20,50
0.00813570028475063,5,0.04,26,50
0.02659799090037556,7,0.056,63,50
0.03035542544548684,16,0.128,31,50
0.03045494161047281,9,0.072,47,50
0.02146692942492571,14,0.112,47,50
0.041434322623959755,13,0.104,15,50
0.009919840163874349,11,0.088,48,50
2.7997697637697187e-05,5,0.04,20,50
0.02105425125951754,8,0.064,46,50
0.01746502119901613,12,0.096,40,50
0.03186714997490323,12,0.096,43,50
0.030243923966101247,15,0.12,15,50
0.030140686475643955,14,0.112,31,50
0.18285760038916066,19,0.152,39,50
0.14181098097039443,20,0.16,9,50
0.020703011065106424,19,0.152,16,50
0.07237559461034088,10,0.08,7,50
1.1147232026331721e-08,3,0.024,15,50
0.033193384745011593,12,0.096,63,50
0.005761727574356739,4,0.032,60,50
2.759807425990091e-07,3,0.024,45,50
0.032762030463374024,9,0.072,9,50
0.026217955142400096,14,0.112,14,50
0.020835354098700857,12,0.096,37,50
0.03457396286559798,15,0.12,63,50
0.03175738493939691,21,0.168,5,50
0.02969334757401285,25,0.2,60,50
0.03664709698057779,27,0.216,47,50
0.01853012802688256,12,0.096,21,50
0.11833428874263575,19,0.152,62,50
0.11555584790727655,26,0.208,58,50
0.03501222668622171,7,0.056,25,50
0.06089246885630174,7,0.056,8,50
7.360654950142634e-06,4,0.032,62,50
7.751234146202714e-08,3,0.024,59,50
0.013185524504777455,5,0.04,44,50
0.01733855148739886,5,0.04,55,50
0.07014485527214022,8,0.064,40,50
0.07475369183031554,18,0.144,63,50
4.2888783635675054e-08,3,0.024,63,50
0.2897599991876699,16,0.128,63,50
0.018210834145636474,16,0.128,1,50
0.04570411686731738,23,0.184,32,50
0.03134653085946559,24,0.192,35,50
0.025621600789007742,20,0.16,14,50
0.021640518067880293,22,0.176,0,50
0.028002448883107267,16,0.128,19,50
0.00011509966661412919,8,0.064,48,50
7.254757346638273e-08,3,0.024,17,50
0.10499186932950996,22,0.176,34,50
0.09444864551876722,18,0.144,49,50
0.11034630585521334,8,0.064,61,50
0.051647882332610334,7,0.056,63,50
0.18257945355099264,23,0.184,63,50
0.03618221521593598,41,0.328,31,50
0.08849197357360938,38,0.304,0,50
0.03682234517499591,32,0.256,14,50
0.04078676749536737,31,0.248,32,50
0.03802015193423776,23,0.184,11,50
0.030898267375966133,21,0.168,63,50
0.021295691070899497,20,0.16,7,50
0.019820253495212,16,0.128,33,50
0.022442671954647404,21,0.168,37,50
0.02069311598295542,22,0.176,37,50
0.027317848195398738,23,0.184,31,50
0.040736331277537445,24,0.192,54,50
0.01751172302793098,20,0.16,20,50
0.024870288740484532,23,0.184,12,50
0.12886429810328573,23,0.184,4,50
0.01615369765743224,18,0.144,56,50
0.0886414565727199,15,0.12,48,50
0.04752377196024136,8,0.064,16,50
0.07128988000013954,10,0.08,43,50
0.03642988885669296,14,0.112,36,50
0.030436751401939056,29,0.232,26,50
0.034919426143338136,25,0.2,39,50
0.026837959304466055,28,0.224,28,50
0.024311569688896754,29,0.232,42,50
0.0366660264396617,22,0.176,56,50
0.022514472873700935,19,0.152,7,50
0.04237161370100842,7,0.056,34,50
0.009507131179364739,19,0.152,23,50
8.1163129905917e-05,6,0.048,31,50
0.01899448301768249,19,0.152,48,50
0.023827722905597943,27,0.216,47,50
0.035262029050356664,30,0.24,30,50
0.024111671804909952,37,0.296,43,50
0.01767307693992616,18,0.144,19,50
0.09233626405965055,22,0.176,61,50
0.10585864915993017,53,0.424,0,50
0.014010641861760724,13,0.104,41,50
0.025459108551365676,15,0.12,33,50
0.08009455680920025,26,0.208,33,50
0.007979595974434312,6,0.048,62,50
0.02665571489375295,13,0.104,48,50
0.03065776344920516,31,0.248,51,50
0.03265783913210374,38,0.304,32,50
0.02927988447130732,36,0.288,44,50
0.031738267924418175,23,0.184,29,50
0.0391086107516968,33,0.264,35,50
0.026085533302800303,18,0.144,22,50
0.00904435454324458,5,0.04,55,50
0.029600840257138935,14,0.112,32,50
0.009805070703943795,7,0.056,61,50
0.01954743385058601,25,0.2,20,50
0.025063898535790153,41,0.328,44,50
0.02745450117132033,32,0.256,45,50
0.07487090392537883,52,0.416,46,50
0.02350504143625084,10,0.08,52,50
0.10203759653580033,61,0.488,36,50
0.02493732815945602,15,0.12,9,50
0.03103684074721172,25,0.2,16,50
0.06146437111692707,15,0.12,56,50
0.0041540486343058115,4,0.032,24,50
0.019841292246944572,31,0.248,30,50
0.02774485296864198,35,0.28,24,50
0.019436321331403588,38,0.304,14,50
0.020882039376696825,48,0.384,13,50
0.02385620072199477,35,0.28,63,50
0.04765908795174341,34,0.272,5,50
0.020743817082990373,29,0.232,12,50
0.027218822177542547,8,0.064,63,50
0.02026544917496934,8,0.064,19,50
0.023537330303801278,22,0.176,63,50
0.021546868529207182,26,0.208,4,50
0.0247560530220827,43,0.344,1,50
0.04718050357364308,38,0.304,8,50
0.03248949489329884,9,0.072,0,50
0.10295223578888142,46,0.368,56,50
0.025626847548213677,17,0.136,63,50
0.08373834119196646,30,0.24,59,50
